reporting_airport,route,pax_current,pax_growth_pct
BELFAST CITY (GEORGE BEST),CARDIFF WALES,35463,152.17237
BELFAST CITY (GEORGE BEST),DUNDEE,3038,-55.38913
BELFAST CITY (GEORGE BEST),EAST MIDLANDS INTERNATIONAL,37161,106.65666
BELFAST CITY (GEORGE BEST),EDINBURGH,116994,38.75823
BELFAST CITY (GEORGE BEST),EXETER,30548,57.7078
BELFAST CITY (GEORGE BEST),GATWICK,228774,39.58827
BELFAST CITY (GEORGE BEST),GLASGOW,103076,61.38659
BELFAST CITY (GEORGE BEST),GUERNSEY,0,-100
BELFAST CITY (GEORGE BEST),HEATHROW,559233,-5.72209
BELFAST CITY (GEORGE BEST),INVERNESS,18114,-6.82578
BELFAST CITY (GEORGE BEST),ISLE OF MAN,8917,0
BELFAST CITY (GEORGE BEST),JERSEY,1417,-32.49166
BELFAST CITY (GEORGE BEST),LEEDS BRADFORD,113405,19.35735
BELFAST CITY (GEORGE BEST),LIVERPOOL (JOHN LENNON),115405,174.38836
BELFAST CITY (GEORGE BEST),LONDON CITY,131551,8.98283
BELFAST CITY (GEORGE BEST),LUTON,30277,0
BELFAST CITY (GEORGE BEST),MANCHESTER,171514,54.78206
BELFAST CITY (GEORGE BEST),NEWCASTLE,24830,920.55076
BELFAST CITY (GEORGE BEST),NEWQUAY,13802,0
BELFAST CITY (GEORGE BEST),NORTHOLT,13,0
BELFAST CITY (GEORGE BEST),SOUTHAMPTON,79810,31.71488
BELFAST CITY (GEORGE BEST),TEESSIDE INTERNATIONAL AIRPORT,1365,-82.69962
BELFAST INTERNATIONAL,BELFAST CITY (GEORGE BEST),323,-12.46612
BELFAST INTERNATIONAL,BIRMINGHAM,350308,10.68603
BELFAST INTERNATIONAL,BRISTOL,272144,8.64119
BELFAST INTERNATIONAL,CARDIFF WALES,11770,4275.46468
BELFAST INTERNATIONAL,CITY OF DERRY (EGLINTON),17,0
BELFAST INTERNATIONAL,EAST MIDLANDS INTERNATIONAL,40648,269.99818
BELFAST INTERNATIONAL,EDINBURGH,433876,41.12955
BELFAST INTERNATIONAL,GATWICK,484460,-3.24346
BELFAST INTERNATIONAL,GLASGOW,310049,3.23061
BELFAST INTERNATIONAL,HEATHROW,0,-100
BELFAST INTERNATIONAL,ISLE OF MAN,20318,-8.05087
BELFAST INTERNATIONAL,JERSEY,18426,-5.25991
BELFAST INTERNATIONAL,LEEDS BRADFORD,41736,36.52601
BELFAST INTERNATIONAL,LIVERPOOL (JOHN LENNON),394000,-4.99041
BELFAST INTERNATIONAL,LUTON,363774,12.60784
BELFAST INTERNATIONAL,MANCHESTER,505205,38.15646
BELFAST INTERNATIONAL,NEWCASTLE,205878,5.72919
BELFAST INTERNATIONAL,SOUTHAMPTON,5332,0
BELFAST INTERNATIONAL,STANSTED,489238,66.56442
BENBECULA,GLASGOW,25561,6.38006
BENBECULA,INVERNESS,3307,2.00494
BENBECULA,STORNOWAY,1792,-39.64298
BIGGIN HILL,BIRMINGHAM,52,420
BIGGIN HILL,DONCASTER SHEFFIELD,0,-100
BIGGIN HILL,DUNDEE,3,0
BIGGIN HILL,EAST MIDLANDS INTERNATIONAL,87,0
BIGGIN HILL,EXETER,81,0
BIGGIN HILL,FARNBOROUGH,4,0
BIGGIN HILL,GLASGOW,0,-100
BIGGIN HILL,HUMBERSIDE,43,-37.68116
BIGGIN HILL,LEEDS BRADFORD,0,-100
BIGGIN HILL,LIVERPOOL (JOHN LENNON),325,712.5
BIGGIN HILL,LUTON,2,-77.77778
BIGGIN HILL,MANCHESTER,366,98.91304
BIGGIN HILL,NEWCASTLE,315,0
BIGGIN HILL,STANSTED,3,0
BIGGIN HILL,TEESSIDE INTERNATIONAL AIRPORT,0,-100
BIRMINGHAM,ABERDEEN,53327,6.70095
BIRMINGHAM,BELFAST CITY (GEORGE BEST),146154,3.71122
BIRMINGHAM,BELFAST INTERNATIONAL,348990,11.19891
BIRMINGHAM,BOURNEMOUTH,326,640.90909
BIRMINGHAM,CARDIFF WALES,0,-100
BIRMINGHAM,CITY OF DERRY (EGLINTON),323,0
BIRMINGHAM,DUNDEE,0,-100
BIRMINGHAM,EAST MIDLANDS INTERNATIONAL,0,-100
BIRMINGHAM,EDINBURGH,214327,24.97128
BIRMINGHAM,GATWICK,301,-48.10345
BIRMINGHAM,GLASGOW,163724,-10.78684
BIRMINGHAM,GUERNSEY,32079,10.9194
BIRMINGHAM,HEATHROW,0,-100
BIRMINGHAM,INVERNESS,17715,-5.17103
BIRMINGHAM,ISLE OF MAN,20077,-9.77846
BIRMINGHAM,JERSEY,32998,-18.20233
BIRMINGHAM,LEEDS BRADFORD,0,-100
BIRMINGHAM,LIVERPOOL (JOHN LENNON),87,0
BIRMINGHAM,LUTON,0,-100
BIRMINGHAM,MANCHESTER,268,0
BIRMINGHAM,NEWCASTLE,448,282.90598
BIRMINGHAM,PRESTWICK,0,-100
BIRMINGHAM,SOUTHAMPTON,36,-75
