origin_airport,destination_airport,pax_current,pax_previous,pax_growth_pct,scheduled_share,charter_share
ABERDEEN,SUMBURGH,100792,91096,10.64372,,
ABERDEEN,TEESSIDE INTERNATIONAL AIRPORT,14293,18336,-22.04952,,
ABERDEEN,WICK JOHN O GROATS,10785,7140,51.05042,,
ALDERNEY,GUERNSEY,32228,33788,-4.61702,,
ALDERNEY,JERSEY,104,59,76.27119,,
ALDERNEY,SOUTHAMPTON,17214,17077,0.80225,,
BARRA,GLASGOW,12836,13102,-2.03022,,
BARRA,TIREE,13,0,0,,
BELFAST CITY (GEORGE BEST),BELFAST INTERNATIONAL,11,4,175,,
BELFAST CITY (GEORGE BEST),BIRMINGHAM,146122,140600,3.92745,,
BELFAST CITY (GEORGE BEST),BRISTOL,43711,10709,308.1707,,
BELFAST CITY (GEORGE BEST),BRIZE NORTON,12,0,0,,
BELFAST CITY (GEORGE BEST),CARDIFF WALES,35463,14063,152.17237,,
BELFAST CITY (GEORGE BEST),DUNDEE,3038,6810,-55.38913,,
BELFAST CITY (GEORGE BEST),EAST MIDLANDS INTERNATIONAL,37161,17982,106.65666,,
BELFAST CITY (GEORGE BEST),EDINBURGH,116994,84315,38.75823,,
BELFAST CITY (GEORGE BEST),EXETER,30548,19370,57.7078,,
BELFAST CITY (GEORGE BEST),GLASGOW,103076,63869,61.38659,,
BELFAST CITY (GEORGE BEST),GUERNSEY,0,1001,-100,,
BELFAST CITY (GEORGE BEST),INVERNESS,18114,19441,-6.82578,,
BELFAST CITY (GEORGE BEST),ISLE OF MAN,8917,0,0,,
BELFAST CITY (GEORGE BEST),JERSEY,1417,2099,-32.49166,,
BELFAST CITY (GEORGE BEST),LEEDS BRADFORD,113405,95013,19.35735,,
BELFAST CITY (GEORGE BEST),LIVERPOOL (JOHN LENNON),115405,42059,174.38836,,
BELFAST CITY (GEORGE BEST),MANCHESTER,171514,110810,54.78206,,
BELFAST CITY (GEORGE BEST),NEWCASTLE,24830,2433,920.55076,,
BELFAST CITY (GEORGE BEST),NEWQUAY,13802,0,0,,
BELFAST CITY (GEORGE BEST),NORTHOLT,13,0,0,,
BELFAST CITY (GEORGE BEST),SOUTHAMPTON,79810,60593,31.71488,,
BELFAST CITY (GEORGE BEST),TEESSIDE INTERNATIONAL AIRPORT,1365,7890,-82.69962,,
BELFAST INTERNATIONAL,BIRMINGHAM,350308,316488,10.68603,,
BELFAST INTERNATIONAL,BRISTOL,272144,250498,8.64119,,
BELFAST INTERNATIONAL,CARDIFF WALES,11770,269,4275.46468,,
BELFAST INTERNATIONAL,CITY OF DERRY (EGLINTON),17,0,0,,
BELFAST INTERNATIONAL,EAST MIDLANDS INTERNATIONAL,40648,10986,269.99818,,
BELFAST INTERNATIONAL,EDINBURGH,433876,307431,41.12955,,
BELFAST INTERNATIONAL,GLASGOW,310049,300346,3.23061,,
BELFAST INTERNATIONAL,ISLE OF MAN,20318,22097,-8.05087,,
BELFAST INTERNATIONAL,JERSEY,18426,19449,-5.25991,,
