rundate,this_period,last_period,grp_cd,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_tp,total_pax_cht_tp,total_pax_lp,total_pax_shd_lp,total_pax_cht_lp,total_pax_pc
19/03/2024 13:27,2023,2022,A,London Area Airports,LONDON CITY,GLASGOW,208629,208629,0,176763,176763,0,18.02753
19/03/2024 13:27,2023,2022,A,London Area Airports,LONDON CITY,GUERNSEY,0,0,0,2601,2601,0,-100
19/03/2024 13:27,2023,2022,A,London Area Airports,LONDON CITY,ISLE OF MAN,18262,18262,0,17116,17116,0,6.69549
19/03/2024 13:27,2023,2022,A,London Area Airports,LONDON CITY,JERSEY,3176,3176,0,4032,4032,0,-21.23016
19/03/2024 13:27,2023,2022,A,London Area Airports,LONDON CITY,KIRKWALL,41,41,0,0,0,0,0
19/03/2024 13:27,2023,2022,A,London Area Airports,LONDON CITY,LIVERPOOL (JOHN LENNON),0,0,0,30,30,0,-100
19/03/2024 13:27,2023,2022,A,London Area Airports,LONDON CITY,MANCHESTER,100,0,100,1034,1034,0,-90.32882
19/03/2024 13:27,2023,2022,A,London Area Airports,LONDON CITY,SOUTHAMPTON,93,93,0,0,0,0,0
19/03/2024 13:27,2023,2022,A,London Area Airports,LONDON CITY,SUMBURGH,35,35,0,123,123,0,-71.54472
19/03/2024 13:27,2023,2022,A,London Area Airports,LUTON,ABERDEEN,80169,80169,0,67572,67508,64,18.64234
19/03/2024 13:27,2023,2022,A,London Area Airports,LUTON,BELFAST CITY (GEORGE BEST),30650,30650,0,0,0,0,0
19/03/2024 13:27,2023,2022,A,London Area Airports,LUTON,BELFAST INTERNATIONAL,364837,364837,0,323881,323881,0,12.64539
19/03/2024 13:27,2023,2022,A,London Area Airports,LUTON,BIRMINGHAM,0,0,0,303,303,0,-100
19/03/2024 13:27,2023,2022,A,London Area Airports,LUTON,BRISTOL,0,0,0,176,176,0,-100
19/03/2024 13:27,2023,2022,A,London Area Airports,LUTON,DUNDEE,0,0,0,45,45,0,-100
19/03/2024 13:27,2023,2022,A,London Area Airports,LUTON,EDINBURGH,313448,313448,0,246524,246524,0,27.14705
19/03/2024 13:27,2023,2022,A,London Area Airports,LUTON,GATWICK,1075,1074,1,4,4,0,26775
19/03/2024 13:27,2023,2022,A,London Area Airports,LUTON,GLASGOW,235998,235998,0,210698,210698,0,12.00771
19/03/2024 13:27,2023,2022,A,London Area Airports,LUTON,HEATHROW,0,0,0,167,167,0,-100
19/03/2024 13:27,2023,2022,A,London Area Airports,LUTON,INVERNESS,150135,150135,0,116363,116363,0,29.02297
19/03/2024 13:27,2023,2022,A,London Area Airports,LUTON,ISLE OF MAN,0,0,0,131,131,0,-100
19/03/2024 13:27,2023,2022,A,London Area Airports,LUTON,JERSEY,101451,101451,0,77100,77100,0,31.58366
19/03/2024 13:27,2023,2022,A,London Area Airports,LUTON,LIVERPOOL (JOHN LENNON),374,374,0,0,0,0,0
19/03/2024 13:27,2023,2022,A,London Area Airports,LUTON,LONDON CITY,203,203,0,0,0,0,0
19/03/2024 13:27,2023,2022,A,London Area Airports,LUTON,MANCHESTER,255,113,142,0,0,0,0
19/03/2024 13:27,2023,2022,A,London Area Airports,LUTON,PRESTWICK,0,0,0,180,180,0,-100
19/03/2024 13:27,2023,2022,A,London Area Airports,LUTON,STANSTED,5,5,0,0,0,0,0
19/03/2024 13:27,2023,2022,A,London Area Airports,SOUTHEND,GATWICK,0,0,0,68,0,68,-100
19/03/2024 13:27,2023,2022,A,London Area Airports,SOUTHEND,ISLE OF MAN,13,13,0,0,0,0,0
19/03/2024 13:27,2023,2022,A,London Area Airports,SOUTHEND,LIVERPOOL (JOHN LENNON),45,0,45,0,0,0,0
19/03/2024 13:27,2023,2022,A,London Area Airports,STANSTED,ABERDEEN,99,99,0,0,0,0,0
19/03/2024 13:27,2023,2022,A,London Area Airports,STANSTED,BELFAST INTERNATIONAL,489477,489477,0,293031,293031,0,67.03932
19/03/2024 13:27,2023,2022,A,London Area Airports,STANSTED,BIRMINGHAM,349,349,0,0,0,0,0
19/03/2024 13:27,2023,2022,A,London Area Airports,STANSTED,BRISTOL,180,180,0,84,84,0,114.28571
19/03/2024 13:27,2023,2022,A,London Area Airports,STANSTED,CITY OF DERRY (EGLINTON),19108,19108,0,58400,58400,0,-67.28082
19/03/2024 13:27,2023,2022,A,London Area Airports,STANSTED,EAST MIDLANDS INTERNATIONAL,180,180,0,0,0,0,0
19/03/2024 13:27,2023,2022,A,London Area Airports,STANSTED,EDINBURGH,599950,599950,0,265824,265485,339,125.69444
19/03/2024 13:27,2023,2022,A,London Area Airports,STANSTED,GATWICK,701,701,0,648,648,0,8.17901
19/03/2024 13:27,2023,2022,A,London Area Airports,STANSTED,GLASGOW,228389,228229,160,214969,214818,151,6.24276
19/03/2024 13:27,2023,2022,A,London Area Airports,STANSTED,HEATHROW,75,75,0,0,0,0,0
19/03/2024 13:27,2023,2022,A,London Area Airports,STANSTED,INVERNESS,140,0,140,0,0,0,0
19/03/2024 13:27,2023,2022,A,London Area Airports,STANSTED,JERSEY,3626,3626,0,5821,5821,0,-37.7083
19/03/2024 13:27,2023,2022,A,London Area Airports,STANSTED,LONDON CITY,98,98,0,0,0,0,0
19/03/2024 13:27,2023,2022,A,London Area Airports,STANSTED,MANCHESTER,120,120,0,185,185,0,-35.13514
19/03/2024 13:27,2023,2022,A,London Area Airports,STANSTED,NEWQUAY,27280,27280,0,0,0,0,0
19/03/2024 13:27,2023,2022,A,London Area Airports,STANSTED,PRESTWICK,0,0,0,154,154,0,-100
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ABERDEEN,BELFAST CITY (GEORGE BEST),20359,20359,0,21902,21874,28,-7.04502
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ABERDEEN,BELFAST INTERNATIONAL,189,189,0,0,0,0,0
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ABERDEEN,BIRMINGHAM,53421,53421,0,50098,50098,0,6.633
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ABERDEEN,BRISTOL,16231,16231,0,16050,16050,0,1.12773
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ABERDEEN,CITY OF DERRY (EGLINTON),27,27,0,0,0,0,0
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ABERDEEN,EDINBURGH,169,169,0,330,308,22,-48.78788
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ABERDEEN,EXETER,0,0,0,5116,5116,0,-100
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ABERDEEN,FARNBOROUGH,0,0,0,25,0,25,-100
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ABERDEEN,GATWICK,194377,194377,0,161865,161865,0,20.08587
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ABERDEEN,GLASGOW,72,57,15,3,3,0,2300
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ABERDEEN,GUERNSEY,358,90,268,0,0,0,0
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ABERDEEN,HEATHROW,504448,504448,0,409195,409195,0,23.27814
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ABERDEEN,HUMBERSIDE,10737,10737,0,11175,11175,0,-3.91946
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ABERDEEN,INVERNESS,0,0,0,83,53,30,-100
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ABERDEEN,ISLAY,0,0,0,42,0,42,-100
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ABERDEEN,KIRKWALL,43291,43273,18,41444,41444,0,4.45662
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ABERDEEN,LIVERPOOL (JOHN LENNON),177,177,0,0,0,0,0
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ABERDEEN,LONDON CITY,1140,1140,0,2110,2110,0,-45.97156
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ABERDEEN,LUTON,80144,79941,203,67339,67268,71,19.01573
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ABERDEEN,MANCHESTER,71549,71549,0,72848,72848,0,-1.78316
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ABERDEEN,NEWCASTLE,14397,14397,0,7348,7348,0,95.93087
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ABERDEEN,NEWQUAY,12412,12412,0,23565,23565,0,-47.32867
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ABERDEEN,NORWICH,32898,32898,0,28598,28387,211,15.03602
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ABERDEEN,SOUTHAMPTON,6115,6115,0,3129,3129,0,95.42985
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ABERDEEN,STANSTED,40,40,0,0,0,0,0
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ABERDEEN,STORNOWAY,16,0,16,0,0,0,0
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ABERDEEN,SUMBURGH,100792,68443,32349,91096,56456,34640,10.64372
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ABERDEEN,TEESSIDE INTERNATIONAL AIRPORT,14293,14231,62,18336,18336,0,-22.04952
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ABERDEEN,WICK JOHN O GROATS,10785,10785,0,7140,7140,0,51.05042
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ALDERNEY,GUERNSEY,32228,32228,0,33788,33788,0,-4.61702
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ALDERNEY,JERSEY,104,104,0,59,59,0,76.27119
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,ALDERNEY,SOUTHAMPTON,17214,17214,0,17077,17077,0,0.80225
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BARRA,GLASGOW,12836,12836,0,13102,13102,0,-2.03022
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BARRA,TIREE,13,13,0,0,0,0,0
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),ABERDEEN,20164,20164,0,21766,21766,0,-7.3601
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),BELFAST INTERNATIONAL,11,11,0,4,4,0,175
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),BIRMINGHAM,146122,146122,0,140600,140600,0,3.92745
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),BRISTOL,43711,43711,0,10709,10709,0,308.1707
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),BRIZE NORTON,12,0,12,0,0,0,0
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),CARDIFF WALES,35463,35463,0,14063,14063,0,152.17237
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),DUNDEE,3038,3038,0,6810,6810,0,-55.38913
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),EAST MIDLANDS INTERNATIONAL,37161,37161,0,17982,17982,0,106.65666
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),EDINBURGH,116994,116839,155,84315,84315,0,38.75823
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),EXETER,30548,30548,0,19370,19370,0,57.7078
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),GATWICK,228774,228774,0,163892,163892,0,39.58827
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),GLASGOW,103076,103076,0,63869,63869,0,61.38659
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),GUERNSEY,0,0,0,1001,1001,0,-100
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),HEATHROW,559233,559233,0,593175,593175,0,-5.72209
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),INVERNESS,18114,18114,0,19441,19441,0,-6.82578
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),ISLE OF MAN,8917,8917,0,0,0,0,0
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),JERSEY,1417,1417,0,2099,1970,129,-32.49166
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),LEEDS BRADFORD,113405,113405,0,95013,95013,0,19.35735
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),LIVERPOOL (JOHN LENNON),115405,115405,0,42059,42059,0,174.38836
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),LONDON CITY,131551,131551,0,120708,120708,0,8.98283
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),LUTON,30277,30277,0,0,0,0,0
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),MANCHESTER,171514,171471,43,110810,110810,0,54.78206
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),NEWCASTLE,24830,24830,0,2433,2433,0,920.55076
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),NEWQUAY,13802,13802,0,0,0,0,0
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),NORTHOLT,13,0,13,0,0,0,0
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),SOUTHAMPTON,79810,79810,0,60593,60546,47,31.71488
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST CITY (GEORGE BEST),TEESSIDE INTERNATIONAL AIRPORT,1365,1365,0,7890,7890,0,-82.69962
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST INTERNATIONAL,BELFAST CITY (GEORGE BEST),323,323,0,369,137,232,-12.46612
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST INTERNATIONAL,BIRMINGHAM,350308,350016,292,316488,316296,192,10.68603
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST INTERNATIONAL,BRISTOL,272144,272144,0,250498,250498,0,8.64119
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST INTERNATIONAL,CARDIFF WALES,11770,11581,189,269,0,269,4275.46468
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST INTERNATIONAL,CITY OF DERRY (EGLINTON),17,0,17,0,0,0,0
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST INTERNATIONAL,EAST MIDLANDS INTERNATIONAL,40648,40607,41,10986,10804,182,269.99818
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST INTERNATIONAL,EDINBURGH,433876,433591,285,307431,307315,116,41.12955
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST INTERNATIONAL,GATWICK,484460,484460,0,500700,500340,360,-3.24346
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST INTERNATIONAL,GLASGOW,310049,309780,269,300346,300202,144,3.23061
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST INTERNATIONAL,HEATHROW,0,0,0,439,0,439,-100
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST INTERNATIONAL,ISLE OF MAN,20318,20318,0,22097,22097,0,-8.05087
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST INTERNATIONAL,JERSEY,18426,18426,0,19449,19449,0,-5.25991
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST INTERNATIONAL,LEEDS BRADFORD,41736,41567,169,30570,30515,55,36.52601
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST INTERNATIONAL,LIVERPOOL (JOHN LENNON),394000,394000,0,414695,414695,0,-4.99041
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST INTERNATIONAL,LUTON,363774,363770,4,323045,323045,0,12.60784
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST INTERNATIONAL,MANCHESTER,505205,504966,239,365676,365550,126,38.15646
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST INTERNATIONAL,NEWCASTLE,205878,205878,0,194722,194647,75,5.72919
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST INTERNATIONAL,SOUTHAMPTON,5332,5221,111,0,0,0,0
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BELFAST INTERNATIONAL,STANSTED,489238,489221,17,293723,293601,122,66.56442
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BENBECULA,GLASGOW,25561,25561,0,24028,24028,0,6.38006
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BENBECULA,INVERNESS,3307,3307,0,3242,3107,135,2.00494
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BENBECULA,STORNOWAY,1792,1792,0,2969,2969,0,-39.64298
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIGGIN HILL,BIRMINGHAM,52,0,52,10,0,10,420
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIGGIN HILL,DONCASTER SHEFFIELD,0,0,0,150,0,150,-100
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIGGIN HILL,DUNDEE,3,0,3,0,0,0,0
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIGGIN HILL,EAST MIDLANDS INTERNATIONAL,87,0,87,0,0,0,0
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIGGIN HILL,EXETER,81,0,81,0,0,0,0
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIGGIN HILL,FARNBOROUGH,4,0,4,0,0,0,0
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIGGIN HILL,GLASGOW,0,0,0,7,0,7,-100
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIGGIN HILL,HUMBERSIDE,43,0,43,69,0,69,-37.68116
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIGGIN HILL,LEEDS BRADFORD,0,0,0,124,0,124,-100
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIGGIN HILL,LIVERPOOL (JOHN LENNON),325,0,325,40,0,40,712.5
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIGGIN HILL,LUTON,2,0,2,9,0,9,-77.77778
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIGGIN HILL,MANCHESTER,366,0,366,184,0,184,98.91304
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIGGIN HILL,NEWCASTLE,315,0,315,0,0,0,0
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIGGIN HILL,STANSTED,3,0,3,0,0,0,0
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIGGIN HILL,TEESSIDE INTERNATIONAL AIRPORT,0,0,0,38,0,38,-100
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIRMINGHAM,ABERDEEN,53327,53141,186,49978,49978,0,6.70095
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIRMINGHAM,BELFAST CITY (GEORGE BEST),146154,146154,0,140924,140924,0,3.71122
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIRMINGHAM,BELFAST INTERNATIONAL,348990,348698,292,313843,313742,101,11.19891
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIRMINGHAM,BOURNEMOUTH,326,138,188,44,0,44,640.90909
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIRMINGHAM,CARDIFF WALES,0,0,0,2,0,2,-100
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIRMINGHAM,CITY OF DERRY (EGLINTON),323,0,323,0,0,0,0
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIRMINGHAM,DUNDEE,0,0,0,31,31,0,-100
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIRMINGHAM,EAST MIDLANDS INTERNATIONAL,0,0,0,189,189,0,-100
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIRMINGHAM,EDINBURGH,214327,213961,366,171501,171501,0,24.97128
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIRMINGHAM,GATWICK,301,301,0,580,86,494,-48.10345
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIRMINGHAM,GLASGOW,163724,163724,0,183520,183401,119,-10.78684
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIRMINGHAM,GUERNSEY,32079,32079,0,28921,28870,51,10.9194
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIRMINGHAM,HEATHROW,0,0,0,33,33,0,-100
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIRMINGHAM,INVERNESS,17715,17715,0,18681,18681,0,-5.17103
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIRMINGHAM,ISLE OF MAN,20077,20077,0,22253,22253,0,-9.77846
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIRMINGHAM,JERSEY,32998,32998,0,40341,40341,0,-18.20233
19/03/2024 13:27,2023,2022,B,Other Reporting Airports,BIRMINGHAM,LEEDS BRADFORD,0,0,0,47,47,0,-100
